"Rock Club London", "Rock out with Rock Band karaoke."
"philipreevesarahmcintyrecakesinspace", "Robots! Spaceships! Killer Cupcakes! Batty Battenbergs! Explore the furthest reaches of storytelling and drawing with this space-suited dream team! The bestselling authors of Oliver and the Seawigs turn their attention to outer space in their new book Cakes in Space. Grab your pencil and get set for zany adventure, in this stage show / creative masterclass / collaborative singing / storytelling spectacular! #CakesinSpace"
"Weirwood Eyes: Looking forward to The Winds of Winter", "A fan discussion based on the currently published material from The Winds of Winter."
"Model Making with Kerry Dyer", "Join animator and model-maker Kerry Dyer for a masterclass in model-creating. Kerry will share her animation secrets, and guide kids and their adults through creating their own. Materials provided, and everyone is welcome!"
"pyjamadramapresentshogwartsfarewell", "Everyone loves Professor Picklenose – he’s the best Potion Master the school has ever seen! But what happens when he makes a surprise announcement? A session for 6-10 year olds to use their dramatic skills to explore a story."
"identityinasoiaf", "Academic presentation from Andrew Jones. In the series A Song of Ice and Fire, George RR Martin has highlighted the conflict of identity which results and promotes conflict with the unknown. Over the series almost every character has an identity, therefore establishing an emotional connection between the reader and the character. Despite this extensive identification, the series is also well known for the use of otherisation. Portraying that which is identifiable through conflict with that which cannot be identified. Over the course of the novels this duality explores how those reading the novel encounter the relationship between the known and the unknown."
"Sex work and A Song of Ice and Fire", "Sex work is mentioned frequently in ASOIAF, but not all portrayals are good portrayals. We are joined by people from the Sex Workers Open University to give their views on the portrayals of sex work in the books."
"Sewing circle", "Talk about the books and bring your own craft project to work on while we chat. Colouring-in pages will be available for those between projects."
"Writing Westeros: a Corpus Linguistic Study of A Song of Ice and Fire", "The University of Sheffield’s Matthew Voice examines George RR Martin’s use of language. Using linguistics software, we will explore the language associated with specific characters to discover the way the author creates an individual identity."
"Braids of Ice and Fire: Game of Thrones hair design workshop", "Cosplay Beyond bring you a very special workshop on recreating the hairstyles of Westeros and Essos. We’ll guide you through the basics, so even if you’ve never done a simple plait, you’ll pick it up quickly. From there, we’ll show you how to combine methods to imitate styles worn by many beloved - and less beloved - characters. We’ll aim to include character styles suitable for many hair lengths – and maybe even a beard or two!"
"The Bards Speak: Authors views of the World of Ice and Fire", "A panel of fantasy authors and experts from the publishing industry give their opinions on the world created by George RR Martin, talking about worldbuilding, foreshadowing, points of view and killing off your beloved characters. With: Susan Bartholomew, Cristina Macía, Anne Perry and Adrian Tchaikovsky."
"Archaeological Exploration of Fantasy Worlds, with H. Grünefeld", "An archaeological look at Middle Earth, Westeros, and elsewhere. Presenting the historical background, notable artefacts, and promising excavation sites for enterprising archaeologists and other interested parties. A few test pits sunk into the world-building soil to see what comes up."
"‘I Love You... Bro’: LGBTQ subtext in genre TV, from Star Trek to Supernatural, with Jenny Alexander", "Despite the emergence, since Willow came out on Buffy in 2000, of overt LGBT representation in sci-fi and fantasy television, “hidden”, hinted at, same-sex romance, in the subtext of genre shows, continues to be significant. BBC’s Merlin, the CW’s Supernatural, MTV’s Teen Wolf and ABC’s Once Upon a Time have all recently made use of it. In a very different era from the 1960s, when the Captain of the Enterprise and his Vulcan First Officer inspired Kirk / Spock fan fiction, is there a progressive place for queer subtext, or is it, today, an exploitative marketing tactic, known in fan culture discussion as “queerbaiting”?"
"gendertroubleinavatargenderasperformativeinavatarthelastairbender", "We explore how gender is written on the animated body using theories of Judith Butler’s Gender Trouble and Nickelodeon cartoon, Avatar: The Last Airbender. We’ll look in three chapters at drag, performativity and gender subversion in The Warriors of Kyoshi; performance and unstable identities in The Ember Island Players; and melancholic gender identity in the characters Katara and Azula."
"Deadly Little Bodies: The Silent Asian Female Assassins in Contemporary Comics, with Kelly Kanayama", "From Cheshire to Lady Shiva, the East Asian female assassin is a common character type in contemporary comics. Although their fighting abilities are often presented as a sign of empowerment, in practice depictions of these characters often combine Orientalist portrayals of female Asian identity with stereotypes regarding Asian culture. This trend gives rise to a particularly problematic character subtype: the East Asian female assassin who lacks the power of speech."
"We Come In Peace: Immigration In Post-Cold War Science Fiction Film, with Samantha Kountz", "Using Homi Bhaba’s “The Other Question”, Rick Altman’s methods in reading genre, and structuralism to examine how mainstream post-Cold War science fiction films such as Star Wars: Episodes I-III, Men In Black, District 9, Alien Nation, The Coneheads, Man of Steel, and Elysium depict aliens in terms of race, class, gender, and citizenship, there is a clear reflection of contemporary anti-immigrant sentiment. The conclusion can be made that these films’ persistent imagining of worlds in which aliens are forced to completely assimilate culturally and physically is symbolic of a subconscious desire for this enforcement as a “resolution”."
"terrypratchettsdiscworldandphilosophyorhowgrannyweatherwaxoutnietzschesnietzsche", "Philosophers love long words – ideally ones only understood by people who have been spending too much time in small rooms with the curtains drawn, instead of getting out in the healthy fresh air. We’re not that kind though – we’re the kind who, when trapped in a room full of mirrors will look down and say: ‘This one’. It is, after all, important to know what’s really real. Nonetheless there is some interesting stuff to be found in the philosophy of roundworld and this session draws on both universes to lead an interactive discussion about how each philosophy informs the other."
"Christian Theology and Culture in Terry Pratchett’s Small Gods, with Rev Phil Bettinson", "Small Gods follows the story of Brutha, the only believer in the city, as he comes to terms with the fact that his God, normally seen as a mighty Bull, has come to him in the shape of a tortoise. The tortoise, better known as the Great God Om, learns a lot about what it means to be a God as he struggles with his new limited form and is reminded of his origins. Brutha’s journey through the book helps both him, and Om, grow in understanding of one another. The story has many obvious parallels with the Christian Faith. The book offers criticisms, and interesting approaches to the faith, and theology. Here, we’ll explore these differences, and to see what kind of interaction there is between the cultural view shown in book and a modern understanding of Christian theology."
"Fallen Gods and Malignant Devils: Marvel’s Early Modern Magical and Martial Antecedents", "With Comics Fandom. Dr. Briony Frost discusses Loki, Thor, fallen gods, and military-magical power. This paper will consider the relationship between nature and science, and heroes and villains, through Loki’s increasingly industrialized magic, and the more heavily militarised “hero” figures of Thor and Tony Stark."
"selfidentityinyadystopianfictionhowterribleworldsareaforceforgoodinours", "This paper discusses, with a focus on three dystopian texts, how the emerging self-identity of YA protagonists intertwines with the class, gender and race-based identities of YA readers, to create a growing potential for political engagement. Fiction and reality blur in novelised worlds of diametrically opposed social classes, glorified masculinity, and devastating narratives of privilege and injustice. Through the work of Suzanne Collins, Patrick Ness and Malorie Blackman, I will argue that dystopian fiction is the ideal genre of literature for young adults, as they negotiate their own unjust and often terrifying world."
"My Little Pony: Audience, Identity and Animation, with Ewan Kirkland", "The unprecedented success of the rebooted My Little Pony series amongst adult male fans raises questions concerning the relationship between screen audiences and particular forms of popular culture. This paper critically examines MLPFIM’s status as a show for young girls, in terms of animation historical, trends within the mainstream culture industry, and the format of the series itself. It is argued that despite its unexpected fandom, MLPFIM maintains the series’ traditional appeal to the franchise’s original demographic of young female viewers."
"readingamillionselfpublishedbooksvisualisingtrendsinwhatswrittenapilotstudy", "Last year publishers took over a million novels to market with many more being self-published. Nobody could read enough of this to know what people are writing about. How can academics and publishers who need to keep up, keep up? In scientific fields, the ‘data deluge’ is addressed by using software to summarise and index the knowledge externally from the researcher. My research focus is on emerging trends in science fiction. I am going to present a pilot study of 100 self-published sci-fi stories, exploring ways that we can navigate these documents and trends computationally, before reading the texts. "
"Male, Pale, and Stale: Character Creation in Gaming, with Helen Gould", "White male protagonists are highly overrepresented in an industry where anything can be created: aliens, elves, trolls, orcs, giant cuttlefish monsters that fire molten metal. A paper called “The Virtual Census”, published in 2009 in New Media & Society, found that male characters make up 85.2% of characters in games, with white characters at 80%. Needless to say, these statistics do not accurately represent gamers as a community. Here, I’ll discuss the ways in which character creation is a good alternative, and how it can have a positive effect on players who don’t fit the usual hero mould – as well as tackling some of the problems with it."
"‘Ideal’ Control Methods and Antisimulation, with Joseph Gavin", "Control schemes are not all designed to be the same. Instead, there are differing ‘ideal’ control schemes. While the usual two ‘ideals’ of control methods are the ‘arcade’ and the ‘simulation’, I’ll argue for the existence of a third, which I’ll call ‘antisimulation’. Arcade works through simplicity, ease, and empowerment, and simulation works through accuracy and specificity. Antisimulation works through over-specificity and incoherence. I’ll be building on my ‘Blogs of the Round Table’ entry for ‘The Right Touch’, ‘Intentionally Bad Controls, Anti-Simulation, and QWOP’, taking into account more research since, and also Peter Shafer’s response to that piece, ‘Control Schemes as Expression’."
"Environmental Narrative and the Silent Story, with Thryn Henderson", "Games as art is a heavily debated topic, where reviews and criticisms of the form are showing an increasing appreciation for a game with a well-crafted narrative to carry the gameplay along. Games writing is an expanding field, but a new challenge for many traditional writers, requiring new forms of narrative. Environmental narrative is the increasingly popular method of using visual and gameplay elements themselves to immerse you in the game world and provide an understanding of its history and events. Here, I’ll discuss the ways in which gameplay and narrative combine to create a convincing atmosphere."
"Actions, Choices, and Immersion: what can philosophers tell us? with John Brasington", "Are your actions in games, yours? Do we share the desires of our characters, have them, or emulate them? Do we think of ourselves as our characters, our avatars, or are we only sympathetic to them? The answers to these questions are different for every game, but with about five minutes of philosophy we can build a framework to understand and answer these questions. All you need is a knowledge of language and the patience to ask what words actually mean, and then we can talk about whether we act in games, whether we make choices, and why we can become immersed in them."
"Objection! What makes for a good adventure game puzzle, anyway? with Seb Atay", "“Use spork on rafflesia”; “use spork on necrotising bacteria”; “combine spork and antique silverware”; “give spork to tree”. We know what it feels like when an adventure game puzzle goes wrong, but what does it feel like when a puzzle goes right? The ideal of the adventure game puzzle is one that the player should solve by insight alone, and this has historically informed the design and development of the genre. However, this ideal dissolves on contact with the player’s experience, because some trial and error will always be required. We argue that fair puzzles help resolve this problem, and that furthermore fairness is instrumental in creating good puzzles. To that end, we provide a schema for assessing whether or not a given puzzle is fair."
"New voices", "Evening showcase of new writers! Bring your drinks, bring your friends - this is your chance to find your next literary addiction. It’s also an opportunity for debut writers – if you know someone who would fit the bill, nominate them at @booksnineworlds."
"Monsterclasses", "Experts in topics from psychology to Egyptology host workshops for the curious-minded."
"Signings at Forbidden Planet", "The UK’s greatest geek megastore will be at Nine Worlds in force, with all your literary needs and a steady stream of signings throughout the convention! "
"urbanfantasycitiesofangelsdemonsbugmonsters", "The lure of cities – wherever they are in time and space. Why are urban environments the best places for adventure? What’s the secret of their appeal? Panel: Ed Cox, Laure Eve, Paul Cornell, Benedict Jacka"
"Time Travel: where, why, how and when?", "This is a message from your future self: go to this panel! Panel: Paul Cornell, Lauren Beukes, Kate Griffin, Fabio Fernandes, Simon Guerrier"
"Monsterclass: Nonlinear narratives", "Stories that don’t behave the way you might expect, with Robert Sharp."
"Mythology and fairytales: pernicious supernaturalism or meaningful exploration of existence?", "Where do myths and fairytales come from, and how are they influencing genre today? Panel: Lauren Beukes, Joanne Harris, Rochita Loenen Ruiz, Aishwarya Subramanian, John Connolly"
"Writing the inhuman: more Yeti than human", "From Frankenstein’s creation to Lady Stoneheart, literature is constantly probing the the boundaries between the human and the inhuman to ask: who is the true monster? Panel: Pete Sutton, Adrian Tchaikovsky, David Mumford, Laure Eve, Jennifer Williams"
"Superheroes and superhuman: exploding the myth of the super-what-have-you", "Superheroes are everywhere these days, from comic books to literary novels to the Disney Store. How is society exploring what ‘super’ means, and how does that change depending on the suffix attached? Panel: Jenni Hill, Nick Harkaway, Stephanie Saulter, Barry Nugent, Taran Matharu"
"Monsterclass: Archaeological worldbuilding", "Debbie Challis, from the Petrie Museum of Egyptian Archaelogy, on what we can learn from ancient worlds."
"Looking forwards", "What does the future hold? And how will it influence the books we read? A panel with all the answers. No pressure. Panel: Nick Harkaway, Fabio Fernandes, Lauren Beukes, Sarah Lotz"
"Love and sex: an intimate exploration", "From shipping to sex scenes, and from erotica to WTF-tica. Panel: E. Saxey, Rebecca Levene, Tiffani Angus, Sarah Lotz, Laurie Penny"
"Writing for Transmedia: ideas that cross formats and boundaries", "Because a story can also be an app, computer game, vlog, fanvid, web series, docu-drama, interactive ebook, diary comic, inter-sensory experience or any other format currently existing or yet to exist not listed here. Kind of against the spirit of the thing, if you ask us. Guess you’ll just have to go to it in person. Panel: Barry Nugent, Anna Caltabiano, Simon Guerrier, Adam Christopher"
"Choose Your Own Documentary – a forgotten diary falls out of an old book. What would you do?", "With the Film Festival track. Join Nathan Penlington and a team of filmmakers as they embark on an epic and emotional quest to find the author of the diary and unravel the mystery of its pages. A true story of obsession, childhood sweethearts, friendship, loss and adventure. But there is a twist. You, the audience, decide Nathan’s fate by using remote controls. His destiny is in your hands. Choose wisely."
"Cthulhu?!", "Sanity optional. Ph’nglui mglw’nafh Cthulhu R’lyeh wgah’nagl fhtagn* *In a corner at Nine Worlds, four authors roll dice and battle evil. Panel: Jon Morgan, Jonathan L Howard, Rebecca Levene, Scott Lynch, Kim Curran"
"School stories: prefects, headmasters and tuckshops, oh my!", "why are we so fascinated by school stories? From Harry Potter to Ender’s Game, from St. Trinian’s to the X-Men, will we ever really escape our school days? No talking in the back of the class. Panel: Aishwarya Subramanian, Zen Cho, Emma Vieceli, Tiffani Angus"
"New voices: say hello to the Class of 2014!", "Fun and fast-paced readings from the very best new writers."
"CoffeeKitsch: brought to you by The Kitschies", "Up early? Start your day right by meeting up with your fellow writers, publishers and fans. And some donuts."
"Cyberpunk: exploring society in the corporate machine age", "Science fiction in a science fictional real world. Panel: Anne Charnock, Fabio Fernandes, Laurie Penny, Paul McAuley"
"dragonsvswerewolvesvsvampiresvswarlockstheultimatedeathmatchsmackdown", "Four monsters enter, one monster leaves. Vampires, dragons, werewolves or warlocks? It all gets decided here. Debate: Anne Perry (Moderator), Elizabeth Bear (Dragons), Gail Carriger (Werewolves), Joanne Harris (Vampires), Scott Lynch (Warlocks)"
"Monsterclass: Street art", "Unconventional artistry with Deadly Knitshade, Lauren O’Farrell."
"Likeable bad guys: loving you is easy, explaining you is hard", "We love to hate them, we hate to love them: from great one-liners to a sympathetic backstory, from the evil laugh to villian-fabulous fashion - what makes bad guys so good? Panel: Ed Fortune, Rochita Loenen Ruiz, Stephen Aryan, Anna Caltabiano, Den Patrick"
"Monsterclass: Mummies", "With John J Johnston of the Egypt Exploration Society."
"Westerns: they’re your Huckleberry", "Saddle up – we’re off to the not-so-distant past to find the secrets of this rough and tumble genre. Panel: Jared Shurin, Will Hill, Stark Holborn, John Hornor Jacobs, Joanne Harris"
"Looking backwards", "From Victorians to Egyptians, what’s the appeal of past worlds? What can we learn from them, and how do they inform our work today? Panel: Gail Carriger, John J Johnston, Marek Kukula"
"Monsterclass: Comics", "Learn how comics and collaboration can inspire your storytelling skills. Take part in a Comics Jam session led by Sarah McIntyre and Philip Reeve and geek out with them about techniques and such. Bring your comic-making questions!"
"Monsterclass: Postcolonial SF", "Genre fiction from around the world with Fabio Fernandes."
"Noir: the dirty streets of fiction", "“It seemed like a nice neighborhood to have bad habits in.” – Raymond Chandler Panel: Will Hill, Daniel Polansky, John Connolly, Sara Townsend, Francis Knight"
"Working with Artists: drawing up professional relationships", "How can artists get the best from their writers, and vice versa? Advice about making great things. Q&A with Sarah McIntyre, Emma Vieceli, Gillian Redfearn, Djibril al-Ayad, Adam Christopher"
"#PROMNADO: The Gollancz Prom Party!", "Drinks and nibbles in celebration of Gollancz’s talented 2014 Class of 2014, debut writers Den Patrick, Mark Alder, Jon Wallace, Anna Caltabiano, John Honor Jacobs and Ed Cox. Enjoy an evening old-school tunes, a mirror ball, The 2014 Year Book Quiz and more."
"New voices: the Class of 2014 continued", "More fun, fast-paced readings from the very best new writers."
"CoffeeKitsch: brought to you by The Kitschies", "Up early again?! Warm up for a great day with coffee, donuts and the company of other early birds."
"African speculative fiction: more than acacia trees", "From Who Fears Death to Zoo City, African science fiction and fantasy is winning our hearts, and shelves. What should we be reading next? Panel: Geoffrey Ryman, Sarah Lotz, Tade Thompson"
"Monsterclass: Mental illness primer", "The fact and the fiction of mental illness for science fiction and fantasy creators, with Tade Thompson."
"spockvsthesorcerersforsfthegenredeathmatchsmackdown", "The vicious genre-pocalypse that we’ve all been waiting for. There can be only one. Debate: Anne Perry (Moderator), Daniel Polansky (Fantasy), Liz Bourke (Fantasy), Zen Cho (SF), Geoffrey Ryman (SF)"
"Marketing social media: getting the word out", "How do you get the word out about your book? How can events, social media, publicity and marketing work? Tips and tricks from the experts. Q&A with Tom Hunter, Adam Christopher, Danie Ware, Sophie Calder and James Oswald"
"X-Punk: punk as suffix, genre and state of mind", "Steampunk, Cyberpunk, Grimpunk, Sandalpunk, Godpunk, Pinkpunk, Punkpunk - what’s nextpunk? Our panelists consider the next big thing – and the perils of the X-Punk genre lifestyle. Panel: Djibril al-Ayad, Kim Curran, M. Suddain, Mathew Pocock, Stephanie Saulter"
"Epic fantasy: the panel of prophecy!", "And lo, it was prophecised that the heroes of the epic fantasy genre would ascend to the Nine Worlds, where they would battle the Evil One with the Sword of Banter and Wand of Quick Wit +2. Panel: Den Patrick, Scott Lynch, Rebecca Levene, Elizabeth Bear, Gaie Sebold"
"Monsterclass: Marketing", "With Tom Hunter, marketing strategist and Director of the Clarke Award."
"Ask a professional: all your questions about the book trade answered", "Experts from every walk of publishing life, ready and willing to be put to the test. Feeling shy? Tweet questions in advance @booksnineworlds Q&A with Alasdair Stuart, Juliet Mushens, Ian Whates, Liz Gorinsky, Jenni Hill"
"strongfemaleprotagonistsinya", "The term “strong female protagonist” in young adult fiction is gaining popularity following the success of The Hunger Games’ Katniss Everdeen, who shoots arrows with pinpoint accuracy while defying the corrupt system. But what does the term mean? Why do we use it? And do we need it at all? Is it a promising trend or just a way of praising masculine traits? A panel of writers and reviewers will invite a discussion on this emerging attitude towards female characters in young adult fiction. Panel: Rowan Williams-Fletcher, Juliet Mushens, Laura Lam, Tom Pollock, Anna Caltabiano"
"Wow. So Panel: Much subtitle. Vague.", "Panel: Jenni Hill, Jared Shurin, Anne Perry "
"Do you have a suit? Cosplayers assemble", "Haven’t quite finished your cosplay? Need help? Need to start? We’ve all been there. Hazel Robinson and craft and fashion wizard Clara Belle will use their mutant powers for good by helping you make last-minute adjustments. We’ll have a big stash of supplies and feel free to bring your own. Other crafters welcome, just leave any welding and metalwork at the forge."
"Stark Tower sleepover: infinite washing-up crisis", "Opening the track by settling into our room and talking superhero domesticity: games, snacks and drinking straight from the coffee pot."
"Falling and tumbling, power and struggle", "Dr Briony Frost presents a paper on Loki, Thor, fallen gods and military-magical power, as Howard Hardiman and Cara Ellison talk about stumbling badgers, self-care and non-adventure."
"Mental health and comics: workshop", "An interactive session about depictions of mental health issues in comics. Bring your favourite comics and join the conversation. We’ll touch on the history of representations of mental health in comics, the ways in which ‘bad guys’ in superhero comics became associated with madness, the characters of Despair and Delirium in Neil Gaiman’s Sandman, the recent spate of mental health memoirs and many other topics."
"Sex and violence", "How comics do it right, how comics do it wrong: for a medium so inclined to - and so indicted for - using sex and violence for thrill power, can it ever be totally non-salacious? Should it be?"
"Dis/continuity: long-running characters, change, evolution and disruption", "The challenges, joys, disappointments and outright confusion of writing, following and redesigning characters with 60+ years of sometimes-not-entirely-straightforward back story."
"Making comics workshop for kids and their adults", "Turning concepts into scripts into pages into pantheons- bring your characters, your ideas, your total lack of experience and/or buckets of enthusiasm, we’ll supply pens, paper and helping hands."
"Creators on comics", "Kieron Gillen - Phonogram, Uncanny X-Men, The Wicked + The Divine - dismantles Watchmen to demonstrate what everyone should have ripped off instead of just tediously having superdudes break other dude’s fingers. Si Spurrier - Six-Gun Gorilla, X-Force, Disenchanted - talks about the eternal sexual war between words and pictures. Then they answer questions! And chat! And hold one another!"
"blurredlinesboycottingbuyingin", "What’s a fan to do when the people responsible for a comic you love do things you hate? We try to plumb the ethical minefield of purchase-as-support."
"Never just “comic book guy”: celebrating diverse comics fandom", "Celebrating diverse comics fandom, defying stereotypes, encouraging participation and wondering when people will realise comics are for everybody."
"More-than-mild peril: beyond sidekicks", "Young adults and children in comics: from fridges to firefights, legacy, parents and representation."
"A/romantic: asexuality in comics", "A panel discussion on presentations of asexuality in comics – presumption and celebration, followed by comics artist Emma Vieceli - BREAKS, Young Avengers, Vampire Academy - discussing the ins and outs of drawing desire."
"Gutter spills: comics across other media", "How to (not?) make concepts that work in comics work in films, TV, prose and fanfic. Featuring the Captain America: The Winter Soldier junior novelisation!"
"introductiontoickinessbasicwoundsworkshoponebruisesandsuperficialcuts", "After a short demo explaining the theory, everyone can have a go, with advice along the way on bringing realism to your work. We’ll finish with a more advanced effect, a deep, painful looking vampire bite. "
"thehorrorthehorrorgruesomeinjuriesworkshoponepustulesandbruises", "After a short demo explaining the theory, everyone can have a go, with advice along the way on bringing realism to your work. We’ll finish with a more advanced effect - a bloody eye socket."
"Basic wounds workshop two: burns and bruises - PG: Fake blood", "After a short demo explaining the theory, everyone can have a go, with advice on bringing realism to your work. We’ll round off the session with a more advanced effect; this time we’re doing an infected knife wound. "
"Laugh it up, fuzzball: sci-fi and fantasy hair design workshop", "From Legolas, the Timotei Elf, to Leia, Princess of Cinnamon Buns, fantasy and science fiction has some of the most creative and extravagant hair styles. A fun tutorial on hair braiding and styling, starting with the basics, then showing how these can be used to imitate character styles, from Star Wars, Disney, Lord of the Rings and more."
"thehorrorthehorrorgruesomeinjuriesworkshoptwoadvancedbruisesanddeepcuts", "After a short demo explaining the theory, everyone can have a go, with advice on bringing realism to your work. We’ll finish with a more advanced effect - using prosthetics to create a slit throat. "
"How to Make Natural Dyes: Authenticity and Budget Cosplaying", "Using a selection of easy to find and cheap items, we will be looking at how to dyes various fabrics and other materials to see what works, and what doesn’t! With Rosemary Darkshines. "
"stylingalokiwigperfectjotenheimianhairinunderanhour", "How to create the hair of one of the most popular characters to cosplay, from scratch, in an hour. With Rosemary Darkshines. "
"Prop Weapons Construction: Making Props Using Styrofoam Foam Board and More", "Where to get materials and how to use different mediums together, with tips and advice for what to use for different projects. There’ll be a chance for hands-on time with everything. With Lee Houlgate."
"Props and Armour Using Pepakura", "How to make your own realistic, detailed armour on a budget, using a simple print-out, cut-out method to give a cardboard scale version, then hardening with fibreglass and detailing with car body filler. With Lee Houlgate."
"Geek Dictionary Corner: All Weekend", "All cultures have their own unique languages, and geekdom is no different! Catherine Sangster from Oxford Dictionaries invites you to County A to help tweak definitions, debate pronunciations, propose meanings and get geek words and meanings in the dictionary."
"The Writers’ Process: an adapting, evolving, creating and editing masterclass", "Join Abigail Nathan, freelance editor, for a master class on editing. Whether you’re looking for better ways to catch your bad habits early, or want to restructure your work for a better read, Abigail will point you in the right direction. Practical advice to sharpen and improve your writing from the ground up!  "
"Putting the Geek into Poetry, Putting Poetry to the Geeks", "Join spoken word artist and poet Dan Simpson to explore the geeky side of poetry. Write, edit, share, perform your words."
"writinglgbtqcharactersinsff", "Laura Lam, author of the award-winning Pantomime & Shadowplay, which has an intersex, bisexual and genderqueer protagonist, shares insights and experiences of writing characters from the LGBTQ+ spectrum."
"Fight choreography for writers – with Retro","We all hate a badly edited fight scene, whether on screen or on the page. Experienced tie-in and historical novelist, martial artist and swordsman David A McIntee leads this roundtable discussion on creating realistic fight scenes in writing and for stage and screen combat. We’ll look at how to make every fight scene unique, explore character and motivation, achieve perfect pacing and address the fact that fight scenes are not just for the ‘tough guys’."
"Geek lust: how to write a sex scene", "A practical workshop of guidance on writing smart, seamless, effective sex scenes. Whether you want to spice up your sci-fi or construct a complete erotic narrative, authors Zak Jane Keir and Kristina Lloyd will advise on avoiding common pitfalls and creating sizzling prose. We’ll look at speculative fiction’s potential for highly original, explicit action, and the popularity of fanfic as a vehicle for literary erotic explorations."
"Smut slam", "Smut slammers sign up on the night to read a 5-minute piece of smut, sex or erotica. A lucky eight to ten names will be drawn at random. Our judges will decide the winner based on who has served up the most sizzling, scintillating smut of the night!"
"Poetry For Breakfast", "Grab some food, OJ and an extra helping of freshly-toasted words. Start your day right with geek poems and spoken word."
"Putting Sherlock in your Pocket", "Writer David Varela on working with Benedict Cumberbatch, Martin Freeman, Steven Moffat, and Mark Gatiss to create the chart-topping mobile adventure, Sherlock: The Network. The all-new story was developed with the show’s creators and involved shooting original scenes and audio with the core cast. David will talk about how he worked with Hartswood Films and the app’s developers, The Project Factory, to let fans step into Sherlock’s world, join the homeless network and get within sniffing distance of the great detective."
"Creating fantasy languages – discussion", "Giving your fantasy setting a language of its own can help add a sense of depth and realism to your work. Join Matt Voice, Edmund Weiner and Catherine Sangster to discuss language systems, structures and how best to use them in your writing."
